Ref,Val,Package,PosX,PosY,Rot,Side
"C15","330 pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",124.650000,-53.000000,90.000000,bottom
"C16","330 pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",125.700000,-55.600000,180.000000,bottom
"C17","330 pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",121.150000,-55.750000,90.000000,bottom
"C18","3.3 μF","C_0805_2012Metric",110.300000,-54.500000,270.000000,bottom
"C19","1 uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",104.500000,-58.900000,270.000000,bottom
"C21","1 uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",112.600000,-54.400000,270.000000,bottom
"C22","2.2 μF","C_0805_2012Metric",117.100000,-54.100000,90.000000,bottom
"C22","1 μF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",117.500000,-59.625000,270.000000,bottom
"C23","1 μF","C_0603_1608Metric",131.100000,-50.100000,180.000000,bottom
"C24","1 μF","C_0603_1608Metric",115.700000,-50.300000,270.000000,bottom
"C25","1 μF","C_0603_1608Metric",118.600000,-65.000000,0.000000,bottom
"C26","10 μF","C_0805_2012Metric",124.250000,-63.250000,180.000000,bottom
"C27","10 μF","C_0805_2012Metric",116.200000,-56.900000,180.000000,bottom
"C28","10 μF","C_0805_2012Metric",121.250000,-61.250000,90.000000,bottom
"L2","XFL4020-472MEC","L_Coilcraft_XxL4020",128.400000,-61.100000,90.000000,bottom
"R1","20 kΩ","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",137.450000,-61.750000,0.000000,bottom
"R2","3.3 kΩ","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",126.300000,-53.000000,270.000000,bottom
"R3","20 kΩ","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",139.650000,-63.350000,0.000000,bottom
"R4","10 kΩ","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",127.900000,-57.200000,180.000000,bottom
"R5","1 kΩ","R_0603_1608Metric",136.500000,-59.900000,0.000000,bottom
"R6","2.8 MΩ","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",108.100000,-58.900000,270.000000,bottom
"R8","10 kΩ","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",134.750000,-62.500000,270.000000,bottom
"R10","1 kΩ","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",122.950000,-55.750000,270.000000,bottom
"R11","500 kΩ","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",106.300000,-58.900000,90.000000,bottom
"R14","10 kΩ","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",119.250000,-61.250000,90.000000,bottom
"R15","10 kΩ","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",120.000000,-58.750000,0.000000,bottom
"R16","1 kΩ","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",118.600000,-66.800000,0.000000,bottom
"R17","15 kΩ","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",107.900000,-65.900000,90.000000,bottom
"U2","OPA4354","SOIC-14_3.9x8.7mm_P1.27mm",112.700000,-62.600000,180.000000,bottom
"U3","MAX7375AXR105","SOT-323_SC-70_Handsoldering",129.600000,-52.900000,0.000000,bottom
"U5","TPS61222","SOT-363_SC-70-6",123.950000,-60.500000,90.000000,bottom
