Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100 nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",109.000000,-49.100000,180.000000,top
"C2","100 nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",109.000000,-51.100000,180.000000,top
"C3","100 nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",117.900000,-59.100000,90.000000,top
"C4","100 nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",116.200000,-62.700000,270.000000,top
"C5","100 nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",122.250000,-50.000000,270.000000,top
"C6","100 nF","C_0402_1005Metric",134.550000,-57.150000,180.000000,top
"C7","100 nF","C_0402_1005Metric",128.650000,-51.150000,180.000000,top
"C8","100 nF","C_0402_1005Metric",122.350000,-56.650000,90.000000,top
"C9","100 nF","C_0402_1005Metric",134.550000,-55.950000,180.000000,top
"C10","100 nF","C_0402_1005Metric",131.050000,-62.800000,0.000000,top
"C11","22 nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",113.300000,-54.900000,180.000000,top
"C12","18 pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",131.250000,-48.000000,180.000000,top
"C13","18 pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",135.350000,-52.550000,180.000000,top
"C14","4.7uF","C_0603_1608Metric",127.500000,-48.000000,180.000000,top
"C20","1 uF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",113.400000,-66.000000,0.000000,top
"L1","BLM18PG471SN1D","C_0603_1608Metric",127.000000,-49.750000,0.000000,top
"R7","330 Ω","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",117.200000,-54.900000,180.000000,top
"R9","330 Ω","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",110.400000,-54.000000,270.000000,top
"R12","200 Ω","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",112.450000,-56.700000,180.000000,top
"R13","100 Ω","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",116.100000,-59.100000,90.000000,top
"U1","SA612AD","SOIC-8_5.275x5.275mm_P1.27mm",116.250000,-51.000000,0.000000,top
"U6","AD8226","SOIC-8_3.9x4.9mm_P1.27mm",112.450000,-61.350000,270.000000,top
"U7","SP3075","SOIC-8_3.9x4.9mm_P1.27mm",138.650000,-57.050000,90.000000,top
"Y1","FX255_32.768kHz","Crystal_SMD_MicroCrystal_CC4V-T1A-2Pin_5.0x1.9mm",132.950000,-50.200000,180.000000,top
