Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100 nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",109.000000,-49.100000,180.000000,top
"C2","100 nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",109.000000,-51.100000,180.000000,top
"C3","100 nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",117.600000,-62.600000,270.000000,top
"C4","22 nF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",115.500000,-58.700000,180.000000,top
"C9","330 pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",122.000000,-52.000000,180.000000,top
"C10","330 pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",124.500000,-52.900000,90.000000,top
"C12","330 pF","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",129.500000,-52.900000,270.000000,top
"C13","1 μF","C_0805_2012Metric",137.600000,-53.000000,90.000000,top
"C14","1 μF","C_0805_2012Metric",125.800000,-62.337500,270.000000,top
"R1","1 kΩ","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",123.000000,-60.275000,90.000000,top
"R2","3.3 kΩ","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",132.000000,-52.000000,180.000000,top
"R3","1 kΩ","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",124.200000,-56.800000,270.000000,top
"R4","39 kΩ","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",126.000000,-58.525000,270.000000,top
"R5","2 kΩ","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",112.100000,-61.700000,90.000000,top
"R6","1 kΩ","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",110.500000,-59.900000,90.000000,top
"R7","330 Ω","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",117.500000,-56.200000,270.000000,top
"R9","330 Ω","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",113.500000,-56.100000,270.000000,top
"R10","1 kΩ","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",127.000000,-52.000000,180.000000,top
"U1","SA612AD","SOIC-8_5.275x5.275mm_P1.27mm",115.500000,-51.365000,0.000000,top
"U2","NE5532DR","SOIC-8_3.9x4.9mm_P1.27mm",131.000000,-58.600000,180.000000,top
"U3","MAX7375AXR105","SOT-323_SC-70_Handsoldering",135.100000,-53.400000,270.000000,top
"U4","MAX11613","MSOP-8_3x3mm_P0.65mm",114.900000,-62.900000,270.000000,top
