Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10 μF","C_0805_2012Metric",155.592000,-90.540000,270.000000,top
"C2","10 μF","C_0805_2012Metric",161.192000,-90.602500,270.000000,top
"C3","1 μF","C_0805_2012Metric",164.592000,-86.946500,270.000000,top
"L1","NR3015T4R7M","L_Taiyo-Yuden_NR-30xx",157.692000,-86.340000,0.000000,top
"R1","10 kΩ","R_0603_1608Metric",154.152500,-86.868000,0.000000,top
"R2","1.5 kΩ","R_0603_1608Metric",163.195000,-91.541500,90.000000,top
"R3","680 Ω","R_0603_1608Metric",164.846000,-91.518500,270.000000,top
"U1","TPS61222DCK","Texas_R-PDSO-G6",158.792000,-90.540000,90.000000,top
"U2","SN74LV1T34DBVR","SOT-23-5",158.832000,-95.588000,90.000000,top
"U3","SN74LV1T34DBVR","SOT-23-5",163.642000,-98.128000,90.000000,top
"U4","SN74LV1T34DBVR","SOT-23-5",158.832000,-100.668000,90.000000,top
"U5","SN74LV1T34DBVR","SOT-23-5",163.576000,-103.208000,90.000000,top
"U6","MIC94090","SOT-363_SC-70-6",161.992000,-86.940000,270.000000,top
